league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2223,Aston Villa,Bertrand Traoré,1,2022,71,695,M S,8,216,2,0.856813095510006,2,0.856813095510006,0,0.0698933973908424,9,1,1,0,1.9170579137280583,1.0958947828039527
ENG-Premier League,2223,Aston Villa,Boubacar Kamara,1,2022,71,5789,M S,24,1790,0,0.0835402803495526,0,0.0835402803495526,1,0.6932991156354547,4,7,4,0,4.049316678196192,3.758611302822828
ENG-Premier League,2223,Aston Villa,Calum Chambers,1,2022,71,508,D S,14,318,0,0.0993134919553995,0,0.0993134919553995,0,0.3778975680470466,2,2,2,0,0.9255801159888506,0.5184373408555984
ENG-Premier League,2223,Aston Villa,Cameron Archer,1,2022,71,9912,S,6,31,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2223,Aston Villa,Danny Ings,1,2022,71,986,F S,35,1562,8,8.25754163786769,6,6.735200669616461,2,1.4635955430567265,42,15,4,0,8.444588728249073,0.8141068425029516
ENG-Premier League,2223,Aston Villa,Diego Carlos,1,2022,71,5712,D S,3,203,0,0.7391797844320536,0,0.7391797844320536,0,0.0345584973692894,4,1,0,0,0.3409037049859762,0.3233499052003026
ENG-Premier League,2223,Aston Villa,Douglas Luiz,1,2022,71,6122,M S,37,2947,6,3.191290902905166,6,3.191290902905166,6,4.567880779504776,34,45,6,1,15.93928093276918,11.555413709953427
ENG-Premier League,2223,Aston Villa,Emiliano Buendía,1,2022,71,2203,F M S,38,2446,5,5.6266536470502615,5,5.6266536470502615,2,4.373138631694019,49,40,0,0,15.272164912894368,7.626095078885555
ENG-Premier League,2223,Aston Villa,Emiliano Martinez,1,2022,71,4401,GK,36,3143,0,0.0,0,0.0,0,0.1398649960756302,0,2,7,0,5.826399106532335,5.68653410859406
ENG-Premier League,2223,Aston Villa,Ezri Konsa Ngoyo,1,2022,71,7726,D S,38,3325,0,0.8061013985425234,0,0.8061013985425234,0,1.4513042895123365,8,8,6,0,10.92092332523316,10.34645892959088
ENG-Premier League,2223,Aston Villa,Jacob Ramsey,1,2022,71,8941,M S,35,2675,6,5.228078290820122,6,5.228078290820122,7,5.728406075388193,33,42,5,0,14.287118025124071,6.712041646242142
ENG-Premier League,2223,Aston Villa,Jan Bednarek,1,2022,71,6042,D S,23,1772,0,0.3442239593714475,0,0.3442239593714475,0,0.1472967974841594,8,3,5,0,1.4835356585681438,1.4707852583378551
ENG-Premier League,2223,Aston Villa,Jhon Durán,1,2022,71,11366,S,12,103,0,0.7512960135936737,0,0.7512960135936737,0,0.0525350011885166,7,1,1,0,0.2932615997269749,0.0882194004952907
ENG-Premier League,2223,Aston Villa,John McGinn,1,2022,71,7723,M S,34,2692,1,1.9473767010495069,1,1.9473767010495069,3,3.408585306257009,42,18,7,0,10.670297458767893,6.900125402957201
ENG-Premier League,2223,Aston Villa,Leander Dendoncker,1,2022,71,7236,M S,24,888,0,0.5861904192715883,0,0.5861904192715883,0,0.6650882922112942,5,7,0,0,3.378464750945568,2.797117682173848
ENG-Premier League,2223,Aston Villa,Leon Bailey,1,2022,71,5221,F M S,33,2031,4,4.778411947190762,4,4.778411947190762,4,5.5339578883722425,51,30,4,0,13.001362528651953,3.578845404088497
ENG-Premier League,2223,Aston Villa,Lucas Digne,1,2022,71,1823,D S,28,1494,1,0.4971364550292492,1,0.4971364550292492,0,1.567529585212469,8,18,5,0,4.502802707254887,3.2010582676157355
ENG-Premier League,2223,Aston Villa,Ludwig Augustinsson,1,2022,71,6083,D S,3,74,0,0.0730345025658607,0,0.0730345025658607,0,0.0,2,0,1,0,0.0804667994379997,0.0261832997202873
ENG-Premier League,2223,Aston Villa,Matthew Cash,1,2022,71,8864,D M S,26,1822,0,0.1666707005351781,0,0.1666707005351781,1,0.4675993956625461,7,8,4,0,5.986693885177374,5.530507996678352
ENG-Premier League,2223,Aston Villa,Morgan Sanson,1,2022,71,3696,S,2,2,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2223,Aston Villa,Ollie Watkins,1,2022,71,8865,F M S,37,3150,15,17.486295863986015,14,15.963956996798515,6,3.674034003168345,85,30,4,0,22.16256415843964,5.435315723530948
